Name,Status,,,Link
Ahmed Ogunlaja,Accepted,,,
Barbara Rivera-Lopez,Accepted,,,
Gareth O'Neill,Accepted,,,
Juan Pablo Alperin,Accepted,,,
Heather Piwowar,Accepted,,,
Ivonne Lujano,Published,,,https://www.youtube.com/watch?v=Du6k6mZb7V0
Anson Mackay,Accepted,,,
Erin McKiernan,Declined,Alternatives: Eunice Mercado,Contacted,
Chris Jackson,Accepted,,,
Jason Priem,Contacted 2,,,
Abel Packer,Accepted,,,
Arianna Becerril,Published,,,https://www.youtube.com/watch?v=yQDFHBJX7xI&feature=youtu.be
Andy Nobes,Accepted,,,
Jessica Polka,Contacted,"Note, Naomi handling",,
Naomi Penfold,Accepted,,,
Richard Sever,Accepted,,,
Martynn Rittman,Published,,,https://www.youtube.com/watch?v=9ZU0wRiFP-Y
Glenn Hampson,Published,,,https://www.youtube.com/watch?v=uaTeAF-cD-g
Mikael Laakso,Published,,,https://www.youtube.com/watch?v=3rmbeWGgrWE&feature=youtu.be
Bianca Kramer,Contacted,,,
Tony Ross-Hellauer,Accepted,,,
Jean-Claude Burgelman,Published,,,https://www.youtube.com/watch?v=8N06jYFgoQQ
Rachael Ainsworth,Published,,,https://www.youtube.com/watch?v=geydm_0jDzM&feature=youtu.be
Lizzie Gadd,Accepted,,,
Brian Nosek,Published,,,https://www.youtube.com/watch?v=N04I-ipKjUI&amp=&feature=youtu.be
Stephanie Dawson,Accepted,,,
Caroline Edwards,Contacted,,,
Martin Eve,Declined,,,
Erzsebet Toth-Czifra,Accepted,,,
Chris Chambers,Declined,Alternatives: Lisa DeBruine,Accepted,
Peter Kraker,Published,,,https://www.youtube.com/watch?v=J8QMa8K1daU
Alessia and Pierre,Contacted,,,
Danny Kingsley,Accepted,,,
Kathlee and Eloy,Accepted,,,
